Symbol,Start,End,Label,Market Cap,Sector,Income,Sales,Employees,Recom Analyst Rating (1 buy/5 sell),price-to-earnings,Price/Earnings-to-Growth,Price-to-Sales Ratio,Price-to-Book,Price to free cash flow,debt-to-equity,EPS (ttm),Inst Own,ROE,ROI,Profit Margin,Shs Outstand,Beta
DYN,19.01,11.95,DOWN,590642872,Health Care,-182.30M,-,108,1.70,-,-,-,1.78,-,0.00,-3.54,92.10%,-51.90%,-,-,51.68M,-
DYNT,0.81,1,UP,8302105,Health Care,-4.70M,44.30M,195,1.70,-,-,0.19,0.56,-,0.16,-0.26,17.20%,-29.60%,-29.90%,-10.70%,18.19M,0.21
DZSI,15.2,16.09,UP,440523947,Utilities,-17.30M,354.60M,840,1.80,-,-,1.18,3.18,-,0.20,-0.63,36.00%,-13.40%,-26.90%,-4.90%,27.66M,1.47
EA,139.51,134.46,DOWN,35023979364,Consumer Discretionary,896.00M,7.21B,12900,2.00,41.97,5.80,5.10,4.83,24.20,0.00,3.15,93.20%,10.30%,8.80%,10.90%,279.00M,0.86
EAR,42.5,5.05,DOWN,25853607,Health Care,-187.90M,3.60M,257,3.30,-,-,6.53,1.95,-,8.93,-4.79,45.90%,-334.70%,-185.70%,-,39.36M,-
EAST,1.27,1.99,UP,4834815,Consumer Staples,-10.30M,14.50M,71,-,-,-,0.32,0.40,-,1.18,-0.73,14.50%,-84.70%,-24.50%,-71.20%,15.27M,1.77
EBIX,37.58,30.44,DOWN,610374738,Technology,69.40M,995.60M,10030,1.50,7.36,0.74,0.53,0.80,11.79,1.01,2.26,69.90%,10.70%,8.50%,7.00%,30.75M,2.56
EBMT,20.81,23.06,UP,149993794,Finance,8.80M,62.00M,352,2.70,14.79,1.48,2.36,0.84,3.35,0.36,1.25,35.30%,7.30%,21.90%,18.30%,7.41M,0.52
EBON,7.14,0.98,DOWN,58667531,Technology,-,51.45M,262,-,16.00,-,1.17,0.16,-,-,0.02,12.67%,-,-,-,188.38M,-
EBTC,25.34,45.18,UP,393232664,Finance,41.30M,152.00M,536,-,9.99,-,2.72,1.44,10.04,0.21,3.40,30.60%,13.10%,31.10%,27.70%,12.11M,0.52
ECOR,1.62,0.6,DOWN,18513121,Health Care,-19.90M,7.00M,52,2.00,-,-,2.06,0.61,-,0.00,-0.28,18.70%,-58.40%,-47.10%,-,70.82M,0.80
EDAP,5.12,5.3,UP,339404395,Health Care,2.50M,50.00M,227,1.70,163.65,54.55,7.43,6.69,-,0.12,0.06,29.40%,5.00%,-2.80%,5.00%,33.47M,1.22
EDIT,71.59,27.79,DOWN,855943732,Health Care,-184.50M,31.80M,264,2.70,-,-,23.49,1.63,-,0.00,-2.69,69.70%,-34.80%,-34.90%,-,68.64M,1.96
EDSA,4.3,5.6,UP,15462287,Health Care,-18.40M,-,16,2.00,-,-,-,1.19,-,0.00,-1.31,22.50%,-140.40%,-,-,15.46M,1.17
EDTK,3.03,0.94,DOWN,16633167,Real Estate,-1.40M,23.10M,71,-,-,-,0.68,0.30,3.67,0.29,-0.10,3.60%,-2.90%,-1.70%,-6.10%,14.91M,-
EDUC,15.25,9.1,DOWN,21758386,Consumer Discretionary,2.40M,111.00M,166,1.00,9.24,-,0.21,0.45,-,1.03,0.28,23.50%,5.10%,8.20%,2.10%,8.08M,0.94
EEFT,140.65,119.14,DOWN,4184653111,Technology,160.10M,3.30B,8800,2.10,27.83,1.86,1.24,4.15,10.06,2.05,3.02,97.30%,7.10%,4.40%,2.70%,50.40M,1.36
EFOI,4.2,4.5,UP,3767107,Consumer Discretionary,-9.10M,8.70M,58,2.00,-,-,0.42,0.66,-,1.10,-1.50,13.40%,-198.30%,-69.60%,-,9.19M,1.87
EFSC,34.63,47.17,UP,2002969630,Finance,190.70M,466.00M,1032,1.80,10.34,1.15,4.17,1.42,9.32,0.11,5.06,71.90%,13.60%,19.30%,40.90%,37.35M,1.18
EGAN,11.72,10.04,DOWN,257411535,Technology,-2.40M,92.00M,687,2.30,-,-,2.67,4.39,32.73,0.00,-0.08,55.90%,-4.50%,-5.90%,-2.70%,31.86M,0.40
EGBN,40.75,58.16,UP,1454131199,Finance,140.40M,381.70M,507,3.00,10.50,1.44,3.82,1.18,6.17,0.06,4.37,76.80%,13.70%,20.10%,46.90%,32.08M,0.88
EGIO,4.22,3.49,DOWN,592127300,Technology,-51.10M,250.40M,1317,1.90,-,-,2.02,1.03,-,0.36,-0.37,74.80%,-27.10%,-18.40%,-20.40%,219.71M,0.89
EGLE,19.61,44.17,UP,668066349,Consumer Discretionary,313.30M,751.20M,1000,1.70,2.78,-,0.95,0.91,2.69,0.48,19.20,90.40%,45.80%,24.30%,41.70%,12.99M,1.33
EGLX,3.5,3.06,DOWN,100965907,Miscellaneous,-53.70M,198.60M,60,-,-,-,0.66,0.29,-,0.04,-0.41,10.93%,-20.40%,-17.60%,-27.00%,138.75M,-
EGRX,48.66,51.1,UP,407851848,Health Care,22.80M,272.20M,102,2.30,22.48,8.33,1.86,2.14,14.34,0.21,1.77,87.70%,11.20%,-0.60%,8.40%,12.84M,0.80
EH,21.24,15.37,DOWN,216765415,Consumer Discretionary,-43.80M,5.80M,326,3.00,-,-,38.78,7.29,-,0.16,-0.76,25.20%,-101.20%,-88.40%,-,57.20M,-
EHTH,69.43,25.61,DOWN,73185504,Finance,-184.20M,463.10M,2379,3.00,-,-,0.19,0.13,-,0.10,-6.81,89.30%,-25.30%,-14.00%,-39.80%,27.28M,0.40
EIGR,12.2,5.21,DOWN,224745005,Health Care,-88.50M,13.20M,51,1.00,-,-,14.31,1.83,-,0.38,-2.44,69.30%,-97.80%,-73.90%,-,43.06M,1.43
EKSO,6.33,2.61,DOWN,21514766,Health Care,-13.00M,13.20M,45,2.00,-,-,1.44,0.60,-,0.00,-1.02,16.10%,-36.60%,-32.50%,-98.50%,12.88M,1.84
ELDN,14.6,4.36,DOWN,33016291,Health Care,-37.70M,-,12,1.60,-,-,-,0.23,-,0.00,-2.59,51.30%,-23.60%,-,-,14.27M,1.83
ELOX,3.86,0.71,DOWN,13076424,Health Care,-44.20M,-,28,1.00,-,-,-,7.00,-,6.78,-0.51,38.30%,-256.80%,-,-,86.65M,2.13
ELSE,4.33,6.28,UP,16470622,Industrials,-0.10M,8.90M,33,-,-,-,1.82,1.28,-,0.00,-0.03,7.80%,-0.70%,3.00%,-1.10%,3.40M,0.38
ELTK,5.03,3.76,DOWN,16268753,Technology,5.40M,36.30M,260,-,3.94,-,0.58,1.05,70.23,0.19,0.92,2.30%,27.10%,21.30%,14.80%,5.85M,-1.45
ELYS,5.39,3.08,DOWN,5941108,Consumer Discretionary,-18.10M,42.30M,97,2.00,-,-,0.23,0.47,-,0.03,-0.77,9.80%,-95.40%,-147.80%,-42.70%,24.12M,2.94
EMCF,31.12,28.97,DOWN,84244530,Finance,10.50M,36.60M,148,-,7.60,-,2.18,1.04,42.00,0.00,3.82,11.00%,12.30%,30.40%,28.80%,2.73M,0.25
EMKR,5.15,7.01,UP,57639104,Technology,-2.40M,142.50M,365,2.50,-,-,0.40,0.43,10.25,0.00,-0.07,56.50%,-1.70%,18.20%,-1.70%,37.42M,1.33
EML,22.91,25.18,UP,133109481,Industrials,14.10M,262.10M,1191,-,9.34,-,0.49,1.09,-,0.65,2.26,64.60%,12.90%,7.80%,5.70%,6.22M,0.95
ENG,2.94,1.35,DOWN,37950452,Consumer Discretionary,-6.60M,31.60M,198,2.00,-,-,1.24,1.64,-,0.08,-0.19,8.20%,-24.50%,-28.30%,-21.00%,35.44M,1.77
ENLV,9.65,5.92,DOWN,57759578,Health Care,-26.30M,-,71,-,-,-,-,1.11,-,0.00,-1.43,9.20%,-32.90%,-,-,18.38M,0.97
ENOB,3.16,7.39,UP,108049703,Health Care,-40.60M,-,11,-,-,-,-,0.59,-,0.03,-0.80,7.60%,-24.30%,-,-,52.64M,0.97
ENPH,172.24,186.41,UP,41665780691,Technology,296.20M,2.02B,2260,2.00,131.14,3.44,18.55,59.74,68.72,2.11,2.05,74.90%,65.00%,12.50%,14.70%,135.63M,1.42
ENSG,75.34,83.71,UP,4970280190,Health Care,213.00M,2.91B,25900,1.60,24.54,1.64,1.72,4.28,27.71,0.13,3.75,94.00%,19.50%,17.00%,7.40%,54.88M,0.99
ENTA,42.1,74.57,UP,935727790,Health Care,-120.00M,89.40M,155,2.20,-,-,9.83,2.61,-,0.00,-5.86,98.30%,-32.40%,-20.20%,-,20.71M,0.53
ENTG,95.2,138.24,UP,11825525160,Technology,460.90M,2.56B,6850,1.80,19.61,1.32,3.81,4.71,132.64,1.78,3.38,95.60%,26.10%,17.30%,18.00%,149.03M,1.21
ENTX,1.24,2.88,UP,13949156,Health Care,-4.50M,0.40M,22,2.00,-,-,46.64,1.05,-,0.00,-0.05,17.10%,-,-53.80%,-,28.81M,1.88
ENVB,199,46.61,DOWN,7221992,Health Care,-52.20M,-,23,2.30,-,-,-,0.15,-,0.00,-76.79,9.00%,-168.30%,-,-,2.08M,1.25
EOLS,3.2,6.5,UP,479610369,Health Care,-78.60M,132.40M,174,1.90,-,-,3.29,9.19,-,0.00,-1.41,48.90%,-107.10%,-29.70%,-59.30%,56.08M,1.94
EOSE,23.9,7.7,DOWN,93786421,Technology,-151.20M,13.00M,251,2.30,-,-,7.43,-,-,-,-2.77,50.50%,-,-94.20%,-,56.02M,-
EPIX,11.97,14.11,UP,88766044,Health Care,-37.30M,-,30,-,-,-,-,0.84,-,0.00,-0.85,-,-20.40%,-,-,44.06M,2.05
EQ,5.03,4.04,DOWN,64238397,Health Care,-72.40M,-,45,1.50,-,-,-,1.51,-,0.26,-2.30,37.80%,-123.20%,-,-,34.29M,1.13
EQBK,21.54,33.84,UP,573438457,Finance,56.50M,175.60M,702,2.20,10.58,1.06,3.29,1.36,7.05,0.22,3.40,69.90%,11.80%,23.30%,30.20%,16.11M,0.79
EQIX,692.56,845.49,UP,51610485836,Real Estate,639.30M,6.93B,10944,2.00,86.34,4.05,8.14,5.19,-,1.40,7.03,97.10%,5.90%,3.60%,9.20%,91.04M,0.53
EQOS,16.39,1.98,DOWN,21749651,Consumer Discretionary,-75.00M,5.30M,195,3.00,-,-,3.87,4.37,-,1.88,-1.84,3.60%,-208.30%,-684.50%,-,46.96M,1.83
ERIC,12.04,10.94,DOWN,18570380000,Technology,2.06B,23.31B,104490,2.30,9.03,1.77,0.81,1.48,14.02,0.31,0.62,9.00%,18.60%,17.00%,8.80%,3.33B,0.50
ERIE,240.91,192.87,DOWN,13401893168,Finance,288.10M,2.78B,5805,2.00,53.41,5.34,4.42,10.16,1022.42,0.00,4.93,36.30%,21.50%,16.70%,10.40%,52.29M,0.40
ERII,13.75,21.34,UP,1435402032,Technology,11.90M,107.20M,222,2.00,92.62,4.63,9.57,6.50,366.52,0.00,0.20,82.80%,6.80%,7.90%,11.10%,56.22M,1.20
ERNA,92.8,84.2,DOWN,9644183,Health Care,-107.50M,-,10,3.00,-,-,-,0.64,-,0.00,-42.05,23.60%,-609.10%,-,-,2.94M,4.32
ERYP,9.77,2.36,DOWN,20627338,Health Care,-26.60M,26.90M,149,1.70,-,-,0.74,0.85,-,0.77,-1.07,4.90%,-,-131.40%,-,31.02M,2.03
ESCA,21.08,15.65,DOWN,149293339,Consumer Discretionary,20.20M,315.10M,670,-,7.17,0.48,0.47,0.92,-,0.68,1.48,24.20%,13.20%,12.60%,6.40%,13.59M,1.18
ESEA,5.46,24.17,UP,136608055,Consumer Discretionary,91.90M,155.10M,365,2.00,1.63,0.33,0.94,1.12,1.43,0.78,12.69,7.00%,98.90%,23.50%,59.20%,7.22M,0.73
ESGR,202.07,247.48,UP,3509921326,Finance,-898.50M,81.80M,832,-,-,-,40.35,0.71,2.48,0.41,-51.35,78.70%,-16.30%,3.60%,-,17.23M,0.62
ESLT,130.01,173.19,UP,8987612191,Industrials,274.30M,5.28B,17787,2.50,31.47,2.89,1.65,3.41,58.29,0.39,6.20,6.20%,11.30%,8.20%,5.20%,44.21M,0.67
ESPR,27.71,4.96,DOWN,544724682,Health Care,-257.60M,67.50M,218,2.60,-,-,8.05,-,-,-,-6.37,87.60%,94.30%,-369.30%,-,68.05M,0.31
ESQ,18.7,31.48,UP,359528193,Finance,26.10M,53.90M,110,-,14.20,-,6.69,2.38,13.35,0.00,3.20,58.80%,13.40%,22.20%,35.40%,7.63M,0.88
ESSA,14.76,17.25,UP,209452319,Finance,18.20M,59.50M,234,3.00,10.87,-,3.49,0.93,14.53,0.00,1.86,38.20%,8.20%,23.20%,28.80%,9.79M,0.32
ESTA,36,64.88,UP,1362676107,Health Care,-71.90M,144.00M,851,1.60,-,-,8.88,81.77,-,0.00,-2.96,81.70%,-163.40%,-25.90%,-49.90%,24.40M,1.08
ETNB,24,13.58,DOWN,442532164,Health Care,-105.20M,-,41,1.50,-,-,-,2.17,-,0.24,-5.20,88.30%,-92.40%,-,-,39.07M,-
ETON,8.11,4.28,DOWN,65266355,Health Care,-11.90M,16.40M,17,2.00,-,-,3.93,4.83,-,0.48,-0.47,25.00%,-79.70%,-4.70%,-72.80%,25.13M,1.40
ETSY,172.08,222.01,UP,11893639784,Consumer Discretionary,405.60M,2.41B,2722,2.20,35.54,-,5.34,21.70,22.99,4.11,2.79,99.29%,67.90%,16.00%,17.00%,127.09M,1.70
EVBG,147.49,67.58,DOWN,1234891570,Technology,-94.40M,402.90M,1893,2.60,-,-,2.40,3.76,-,3.08,-2.41,98.90%,-26.40%,-5.00%,-23.40%,39.57M,0.76
EVGN,5.1,1.66,DOWN,30905634,Industrials,-32.10M,1.00M,141,2.00,-,-,29.89,0.81,-,0.06,-0.78,4.30%,-65.20%,-54.90%,-,41.20M,1.18
EVGO,10.53,10.21,DOWN,513944665,Consumer Discretionary,-15.70M,30.10M,219,2.30,1008.57,-,62.64,-,-,-,0.01,54.60%,1.30%,6.60%,-52.30%,264.38M,-
EVK,2.99,2.6,DOWN,13654926,Consumer Discretionary,0.20M,328.20M,4300,-,67.79,-,0.04,0.09,-,0.51,0.01,1.20%,0.10%,-1.70%,0.00%,14.81M,-0.12
EVLO,11.85,6.27,DOWN,228719866,Health Care,-122.80M,-,122,2.00,-,-,-,4.15,-,1.31,-2.13,82.70%,-810.70%,-,-,107.99M,1.38
EVLV,10.08,4.6,DOWN,420937523,Technology,-14.20M,33.00M,102,2.30,-,-,11.36,1.44,-,0.04,-0.10,48.60%,-5.10%,-22.20%,-43.10%,143.55M,-
EVOK,32.4,6.9,DOWN,5950665,Health Care,-8.00M,2.20M,4,2.00,-,-,2.52,0.74,-,0.00,-2.84,2.10%,-184.50%,-94.80%,-,3.34M,0.66
EVOP,26.82,25.4,DOWN,1397475629,Technology,3.10M,532.80M,2300,1.90,524.69,31.93,3.28,-,11.20,-,0.06,99.60%,-0.50%,-72.10%,0.60%,47.86M,1.18
EVTV,7.74,4.5,DOWN,52352349,Consumer Discretionary,-9.60M,4.60M,12,2.00,-,-,11.29,0.71,-,0.00,-0.26,3.90%,-13.20%,-10.40%,-,15.00M,2.57
EWBC,51.14,79.02,UP,10137605813,Finance,1.01B,1.98B,3100,1.80,9.86,1.23,4.93,1.76,-,0.03,7.07,91.90%,15.90%,22.00%,45.70%,141.43M,1.43
EXAS,128.77,77.89,DOWN,6130763367,Health Care,-734.50M,1.94B,6420,1.70,-,-,3.48,2.10,-,0.70,-4.23,89.00%,-22.10%,-10.90%,-37.90%,176.36M,1.31
EXC,29.37,40.91,UP,38268365635,Utilities,2.54B,28.11B,31518,2.20,14.17,0.89,1.29,1.52,-,1.64,2.59,83.70%,9.20%,3.10%,9.40%,993.74M,0.55
EXEL,20.53,18.63,DOWN,5303787800,Health Care,272.60M,1.55B,954,1.90,19.40,0.42,3.34,2.12,15.12,0.00,0.84,89.70%,-,10.10%,-,322.15M,0.69
EXLS,83.87,144.72,UP,6001888189,Technology,139.40M,1.33B,37400,2.40,44.46,2.65,4.48,8.63,45.47,0.38,4.12,99.75%,20.00%,11.70%,10.50%,33.24M,1.01
EXPD,92.31,133.4,UP,16020905552,Consumer Discretionary,1.54B,18.98B,19070,3.10,10.56,-,0.82,4.48,12.08,0.00,9.07,96.50%,43.00%,40.20%,8.10%,165.09M,0.92
EXPE,131.37,181.47,UP,14886136717,Consumer Discretionary,331.00M,10.67B,14800,2.50,42.72,1.87,1.29,7.38,4.53,3.52,2.10,97.90%,17.30%,3.90%,3.10%,157.29M,1.51
EXPI,30.7,34.26,UP,2015889113,Finance,57.60M,4.61B,1669,2.00,30.52,3.05,0.37,6.59,8.01,0.00,0.37,31.50%,25.30%,36.30%,1.20%,150.78M,2.90
EXPO,88.22,116.01,UP,4893918411,Consumer Discretionary,100.20M,499.40M,1215,2.50,51.70,3.45,9.85,15.13,74.34,0.00,1.90,94.60%,25.90%,20.20%,20.00%,51.89M,0.62
EXTR,6.93,15.87,UP,2373240295,Telecommunications,44.20M,1.14B,2643,2.20,54.53,2.73,2.04,21.24,19.01,2.42,0.33,85.70%,47.80%,14.30%,3.90%,130.29M,2.09
EYE,46.99,48.55,UP,2943277552,Health Care,87.10M,2.03B,13735,2.00,36.31,-,1.41,3.32,64.01,0.64,1.02,-,9.30%,10.30%,4.30%,80.06M,1.51
EYEN,6.29,3.8,DOWN,73728718,Health Care,-17.20M,10.00M,43,1.70,-,-,6.83,2.80,-,0.31,-0.57,14.10%,-87.90%,-44.90%,-,33.65M,1.60
EYPT,9.01,12.72,UP,183308194,Health Care,-76.50M,41.50M,122,1.80,-,-,4.28,1.29,-,0.26,-2.26,89.20%,-51.40%,-,-,37.32M,1.10
EZPW,4.79,7.31,UP,548991834,Miscellaneous,44.40M,845.30M,6500,1.00,16.97,0.48,0.59,0.77,14.48,0.00,0.55,94.30%,6.60%,2.50%,5.20%,56.66M,1.13
FAMI,28.5,5.57,DOWN,11863336,Consumer Staples,-,39.29M,67,-,11.21,-,0.32,0.41,-,-,0.05,0.99%,-,-,-,22.32M,-
FANG,48.94,107.31,UP,27938830683,Energy,3.83B,9.11B,870,1.90,7.63,0.37,3.16,2.17,6.49,0.41,21.42,97.70%,30.90%,17.50%,42.10%,177.84M,2.05
FANH,10.93,6.16,DOWN,255144298,Finance,5.40M,393.80M,5785,-,49.01,-,0.68,1.28,-,0.00,0.10,20.00%,2.30%,11.50%,1.40%,53.72M,0.40
FARM,4.53,7.33,UP,113272069,Consumer Staples,-16.30M,469.20M,1068,2.00,-,-,0.21,0.96,-,1.03,-0.89,62.10%,-15.50%,-6.80%,-3.50%,18.45M,1.47
FARO,68.33,69.95,UP,551123334,Industrials,-53.80M,335.90M,1432,2.50,-,-,1.66,1.83,-,0.00,-2.95,-,-16.60%,-12.20%,-16.00%,18.27M,1.39
FAST,47.65,63.81,UP,27652847006,Basic Materials,1.07B,6.82B,19519,3.00,26.66,4.21,4.12,8.98,-,0.18,1.86,79.70%,34.30%,27.20%,15.70%,573.00M,1.16
FAT,5.15,10.74,UP,135072031,Consumer Discretionary,-75.00M,377.60M,5200,2.00,-,-,0.30,-,-,-,-4.57,7.20%,71.30%,-0.70%,-19.90%,16.53M,2.06
FATE,89.68,60.07,DOWN,2037976177,Health Care,-253.70M,68.30M,449,1.80,-,-,27.85,3.28,-,0.00,-2.64,-,-38.70%,-32.00%,-,96.70M,1.57
FBIO,3.25,2.52,DOWN,90971283,Health Care,-89.50M,82.20M,173,2.00,-,-,1.03,0.96,-,1.26,-1.06,30.70%,-95.10%,-118.30%,-,88.74M,1.90
FBIZ,18.23,28.95,UP,322340493,Finance,37.80M,107.30M,307,2.00,8.47,1.06,3.01,1.33,12.99,0.18,4.60,69.70%,16.00%,28.60%,35.30%,8.23M,0.77
FBMS,30.45,38.74,UP,789804304,Finance,62.40M,186.30M,794,2.40,11.19,-,4.19,1.20,11.85,0.26,2.93,60.90%,10.30%,17.20%,34.50%,24.03M,0.92
FBNC,33.13,45.59,UP,1598419526,Finance,101.00M,277.00M,1179,2.00,14.12,1.74,5.93,1.53,9.23,0.06,3.24,72.20%,9.30%,16.70%,36.40%,35.48M,1.13
FBRX,35.26,2.12,DOWN,21969520,Health Care,-16.70M,-,6,3.00,-,-,-,0.40,-,0.00,-1.15,36.90%,-40.90%,-,-,20.34M,0.82
FCAP,55.9,40.6,DOWN,82619194,Finance,11.00M,30.10M,182,-,7.32,-,2.70,0.94,5.97,0.00,3.28,10.40%,10.70%,23.20%,36.50%,3.35M,0.23
FCBC,21.4,33.28,UP,604223062,Finance,44.60M,109.20M,622,3.00,13.80,2.76,5.51,1.47,23.61,0.00,2.67,38.60%,10.90%,22.30%,42.20%,16.66M,0.52
FCEL,10.61,5.33,DOWN,1267384338,Utilities,-127.60M,105.20M,382,3.20,-,-,12.18,1.76,-,0.12,-0.34,42.80%,-19.40%,-10.50%,-,405.56M,3.57
FCFS,66.97,74.55,UP,4610521475,Miscellaneous,202.80M,2.48B,17000,2.40,21.66,1.36,1.81,2.46,24.44,0.72,4.36,83.40%,7.10%,5.00%,4.80%,47.42M,0.80
FCNCA,568.46,811.02,UP,13147330845,Finance,923.60M,2.75B,6578,1.70,13.17,-,4.84,1.36,-,0.21,62.92,71.90%,9.30%,26.50%,23.70%,16.02M,0.96
FCUV,3.75,9.38,UP,430020052,Industrials,-5.00M,1.00M,13,-,-,-,503.20,43.42,-,0.00,-0.12,7.50%,-39.60%,-20.00%,-,43.40M,-
FDMT,37.69,21.87,DOWN,282050512,Health Care,-101.70M,2.80M,138,2.00,-,-,92.98,0.99,-,0.00,-3.33,82.30%,-36.60%,-22.40%,-,32.32M,-
FEIM,10.48,9.81,DOWN,48895922,Industrials,-10.20M,43.50M,197,-,-,-,1.10,1.12,-,0.00,-1.10,57.00%,-20.50%,-18.90%,-23.40%,9.31M,0.39
FELE,68.29,93.74,UP,3795920876,Consumer Discretionary,187.90M,1.99B,6400,2.70,20.42,1.52,1.91,3.83,-,0.32,4.00,82.50%,16.20%,13.60%,7.80%,46.30M,1.00
FENC,7.46,4.38,DOWN,227306708,Health Care,-17.40M,-,10,2.00,-,-,-,25.67,-,0.59,-0.67,43.20%,-124.50%,-,-,26.05M,0.00
FFBC,17.62,24.29,UP,2484175687,Finance,195.50M,513.00M,2010,3.00,12.52,1.25,4.79,1.17,8.65,0.17,2.07,75.30%,9.20%,16.30%,38.80%,93.55M,1.07
FFHL,10.23,7.55,DOWN,23122126,Industrials,9.40M,52.90M,209,-,2.44,0.35,0.43,0.48,-,0.29,2.89,5.50%,-,20.50%,-,3.27M,0.94
FFIC,16.23,24.31,UP,592243840,Finance,84.80M,299.10M,523,2.70,7.53,1.34,2.05,0.95,6.85,0.27,2.73,69.40%,12.00%,26.20%,27.10%,30.94M,0.70
FFIE,10.08,5.17,DOWN,213402294,Consumer Discretionary,-683.00M,-,745,3.00,-,-,-,0.74,-,0.32,-2.20,20.10%,-140.10%,-,-,322.72M,-
FFIN,35.82,51.19,UP,5494749980,Finance,231.10M,407.70M,1400,3.20,22.97,2.30,13.30,3.98,22.46,0.00,1.61,61.40%,14.40%,18.60%,55.60%,142.68M,0.77
FFIV,175.85,245.4,UP,8590508600,Technology,322.20M,2.70B,6461,2.70,25.95,2.76,3.01,3.54,14.41,0.15,5.29,96.90%,14.80%,12.40%,13.00%,59.97M,1.09
FFNW,11.28,16.07,UP,136771646,Finance,13.00M,53.20M,144,2.00,10.74,1.53,2.49,0.85,7.95,0.00,1.39,39.60%,8.20%,26.40%,24.30%,8.98M,0.42
FFWM,19.8,25.09,UP,903894366,Finance,117.00M,342.50M,674,1.80,6.77,0.97,2.38,0.75,9.90,0.16,2.16,68.90%,11.80%,14.70%,34.40%,56.47M,1.03
FGBI,15.78,20.38,UP,249594179,Finance,29.50M,128.40M,463,3.00,8.98,-,2.04,1.37,12.38,0.20,2.75,13.50%,14.70%,34.80%,21.70%,10.72M,0.48
FGEN,37.58,14.12,DOWN,1520481940,Health Care,-220.10M,263.10M,566,3.10,-,-,5.38,14.56,-,0.00,-2.37,76.20%,-110.50%,-127.40%,-83.60%,93.47M,0.87
FGF,3.39,3.65,UP,20195505,Finance,-19.40M,1.70M,9,-,-,-,12.60,2.85,-,0.00,-3.26,63.70%,-225.40%,-63.20%,-,9.39M,0.75
FHB,23.7,27.06,UP,3294626460,Finance,243.10M,604.10M,2000,3.40,13.58,16.97,5.46,1.46,18.70,0.00,1.90,-,10.70%,18.30%,44.00%,127.67M,1.05
FHTX,19.06,22.24,UP,366825556,Health Care,-109.50M,9.20M,119,2.00,-,-,41.81,7.89,1.65,0.00,-2.78,62.20%,-147.00%,-105.20%,-,41.52M,-
FIBK,40.33,40.6,UP,4786989330,Finance,167.50M,821.90M,2358,2.20,24.37,3.05,5.90,1.51,35.57,0.09,1.86,81.10%,4.00%,20.50%,13.10%,109.11M,0.91
FISI,22.39,31.85,UP,372274928,Finance,62.60M,182.10M,625,2.70,6.05,0.76,2.04,0.91,5.47,0.18,4.01,67.80%,15.60%,25.60%,38.70%,15.31M,0.92
FISV,111.92,104.52,DOWN,65519020609,Consumer Discretionary,2.08B,17.36B,44000,2.00,30.27,2.02,3.48,2.03,21.33,0.70,3.18,93.30%,6.70%,3.70%,12.00%,639.60M,0.89
FITB,27.23,43.6,UP,24577942830,Finance,2.26B,5.81B,19119,2.00,10.78,2.14,4.13,1.43,6.79,0.65,3.25,83.20%,13.10%,15.00%,42.40%,689.02M,1.23
FIVE,167.09,206.36,UP,8147345935,Consumer Discretionary,238.40M,2.91B,6100,1.90,34.99,2.78,2.85,7.09,-,0.00,4.25,-,21.50%,26.10%,8.20%,55.50M,1.17
FIVN,173.15,139.64,DOWN,4287498868,Technology,-81.90M,700.10M,2138,2.00,-,-,4.74,13.39,-,3.01,-1.19,-,-38.90%,-4.60%,-11.70%,69.75M,0.62
FIXX,11.64,3.68,DOWN,86103042,Health Care,-1.20M,4.10M,224,2.10,-,-,19.89,0.34,-,0.00,-0.04,53.70%,-0.50%,-56.50%,-28.80%,57.39M,-0.20
FIZZ,42.37,45.93,UP,4434500067,Consumer Staples,140.20M,1.14B,1580,3.70,31.64,1.24,3.88,16.45,49.29,0.00,1.50,24.90%,47.70%,57.90%,12.20%,93.34M,1.09
FKWL,23.75,3.61,DOWN,40311934,Utilities,-3.80M,24.00M,76,2.00,-,-,1.60,0.95,-,0.00,-0.32,17.30%,-8.90%,-9.50%,-15.70%,11.67M,0.28
FLEX,17.88,18.39,UP,9038089031,Technology,815.00M,28.58B,172648,-,11.07,0.66,0.30,2.10,71.03,0.96,1.74,99.50%,20.30%,13.10%,2.90%,455.00M,1.46
FLGT,59.3,101.64,UP,1205484982,Health Care,392.40M,925.10M,645,2.00,2.82,-,1.14,0.83,2.58,0.02,12.57,44.90%,32.70%,42.40%,42.40%,30.36M,1.54
FLIC,17.64,21.69,UP,405422935,Finance,46.00M,129.50M,318,2.70,8.96,1.28,3.21,1.08,18.20,0.74,1.98,59.00%,11.00%,24.00%,33.90%,23.00M,0.50
FLL,3.79,11.96,UP,244127004,Consumer Discretionary,5.40M,176.30M,893,2.00,49.00,3.27,1.31,2.16,-,3.69,0.14,51.40%,4.90%,8.80%,3.10%,34.36M,1.84
FLNT,5.25,2.08,DOWN,102261729,Consumer Discretionary,-57.60M,373.10M,261,1.00,-,-,0.27,0.66,9.14,0.28,-0.71,27.30%,-29.20%,-3.00%,-15.40%,81.49M,2.39
FLUX,15.32,4.25,DOWN,59035460,Industrials,-15.60M,42.30M,121,2.00,-,-,1.42,3.99,-,0.35,-1.02,30.90%,-83.50%,-81.70%,-36.90%,15.99M,1.12
FLWS,27.13,23.67,DOWN,467252275,Consumer Discretionary,29.60M,2.21B,4700,2.20,19.79,0.99,0.24,1.09,-,0.32,0.43,70.40%,5.60%,6.00%,1.30%,64.65M,1.66
