"Symbol","Start","End","Label","Market.Cap","Sector","Income","Sales","Employees","Recom.Analyst.Rating..1.buy.5.sell.","price.to.earnings","Price.Earnings.to.Growth","Price.to.Sales.Ratio","Price.to.Book","Price.to.free.cash.flow","debt.to.equity","EPS..ttm.","Inst.Own","ROE","ROI","Profit.Margin","Shs.Outstand","Beta"
"EEFT",140.65,119.14,"DOWN",4184653111,"Technology",160100000,3.3e+09,8800,"2.10",27.83,1.86,1.24,4.15,10.06,2.05,3.02,0.973,0.071,0.044,0.027,50400000,1.36
"EFOI",4.2,4.5,"UP",3767107,"Consumer Discretionary",-9100000,8700000,58,"2.00",NA,NA,0.42,0.66,NA,1.1,-1.5,0.134,-1.983,-0.696,NA,9190000,1.87
"EFSC",34.63,47.17,"UP",2002969630,"Finance",190700000,4.66e+08,1032,"1.80",10.34,1.15,4.17,1.42,9.32,0.11,5.06,0.719,0.136,0.193,0.409,37350000,1.18
"EGAN",11.72,10.04,"DOWN",257411535,"Technology",-2400000,9.2e+07,687,"2.30",NA,NA,2.67,4.39,32.73,0,-0.08,0.559,-0.045,-0.059,-0.027,31860000,0.4
"EGBN",40.75,58.16,"UP",1454131199,"Finance",140400000,381700000,507,"3.00",10.5,1.44,3.82,1.18,6.17,0.06,4.37,0.768,0.137,0.201,0.469,32080000,0.88
"EGIO",4.22,3.49,"DOWN",592127300,"Technology",-51100000,250400000,1317,"1.90",NA,NA,2.02,1.03,NA,0.36,-0.37,0.748,-0.271,-0.184,-0.204,219710000,0.89
"EGLE",19.61,44.17,"UP",668066349,"Consumer Discretionary",313300000,751200000,1000,"1.70",2.78,NA,0.95,0.91,2.69,0.48,19.2,0.904,0.458,0.243,0.417,12990000,1.33
"EGLX",3.5,3.06,"DOWN",100965907,"Miscellaneous",-53700000,198600000,60,"-",NA,NA,0.66,0.29,NA,0.04,-0.41,0.1093,-0.204,-0.176,-0.27,138750000,NA
"EGRX",48.66,51.1,"UP",407851848,"Health Care",22800000,272200000,102,"2.30",22.48,8.33,1.86,2.14,14.34,0.21,1.77,0.877,0.112,-0.006,0.084,12840000,0.8
"EH",21.24,15.37,"DOWN",216765415,"Consumer Discretionary",-43800000,5800000,326,"3.00",NA,NA,38.78,7.29,NA,0.16,-0.76,0.252,-1.012,-0.884,NA,57200000,NA
"EHTH",69.43,25.61,"DOWN",73185504,"Finance",-184200000,463100000,2379,"3.00",NA,NA,0.19,0.13,NA,0.1,-6.81,0.893,-0.253,-0.14,-0.398,27280000,0.4
"EIGR",12.2,5.21,"DOWN",224745005,"Health Care",-88500000,13200000,51,"1.00",NA,NA,14.31,1.83,NA,0.38,-2.44,0.693,-0.978,-0.739,NA,43060000,1.43
"EKSO",6.33,2.61,"DOWN",21514766,"Health Care",-1.3e+07,13200000,45,"2.00",NA,NA,1.44,0.6,NA,0,-1.02,0.161,-0.366,-0.325,-0.985,12880000,1.84
"ELDN",14.6,4.36,"DOWN",33016291,"Health Care",-37700000,NA,12,"1.60",NA,NA,NA,0.23,NA,0,-2.59,0.513,-0.236,NA,NA,14270000,1.83
"ELOX",3.86,0.71,"DOWN",13076424,"Health Care",-44200000,NA,28,"1.00",NA,NA,NA,7,NA,6.78,-0.51,0.383,-2.568,NA,NA,86650000,2.13
"ELSE",4.33,6.28,"UP",16470622,"Industrials",-1e+05,8900000,33,"-",NA,NA,1.82,1.28,NA,0,-0.03,0.078,-0.007,0.03,-0.011,3400000,0.38
"ELTK",5.03,3.76,"DOWN",16268753,"Technology",5400000,36300000,260,"-",3.94,NA,0.58,1.05,70.23,0.19,0.92,0.023,0.271,0.213,0.148,5850000,-1.45
"ELYS",5.39,3.08,"DOWN",5941108,"Consumer Discretionary",-18100000,42300000,97,"2.00",NA,NA,0.23,0.47,NA,0.03,-0.77,0.098,-0.954,-1.478,-0.427,24120000,2.94
"EMCF",31.12,28.97,"DOWN",84244530,"Finance",10500000,36600000,148,"-",7.6,NA,2.18,1.04,42,0,3.82,0.11,0.123,0.304,0.288,2730000,0.25
"EMKR",5.15,7.01,"UP",57639104,"Technology",-2400000,142500000,365,"2.50",NA,NA,0.4,0.43,10.25,0,-0.07,0.565,-0.017,0.182,-0.017,37420000,1.33
"EML",22.91,25.18,"UP",133109481,"Industrials",14100000,262100000,1191,"-",9.34,NA,0.49,1.09,NA,0.65,2.26,0.646,0.129,0.078,0.057,6220000,0.95
"ENG",2.94,1.35,"DOWN",37950452,"Consumer Discretionary",-6600000,31600000,198,"2.00",NA,NA,1.24,1.64,NA,0.08,-0.19,0.082,-0.245,-0.283,-0.21,35440000,1.77
"ENLV",9.65,5.92,"DOWN",57759578,"Health Care",-26300000,NA,71,"-",NA,NA,NA,1.11,NA,0,-1.43,0.092,-0.329,NA,NA,18380000,0.97
"ENOB",3.16,7.39,"UP",108049703,"Health Care",-40600000,NA,11,"-",NA,NA,NA,0.59,NA,0.03,-0.8,0.076,-0.243,NA,NA,52640000,0.97
"ENPH",172.24,186.41,"UP",41665780691,"Technology",296200000,2.02e+09,2260,"2.00",131.14,3.44,18.55,59.74,68.72,2.11,2.05,0.749,0.65,0.125,0.147,135630000,1.42
"ENSG",75.34,83.71,"UP",4970280190,"Health Care",2.13e+08,2.91e+09,25900,"1.60",24.54,1.64,1.72,4.28,27.71,0.13,3.75,0.94,0.195,0.17,0.074,54880000,0.99
"ENTA",42.1,74.57,"UP",935727790,"Health Care",-1.2e+08,89400000,155,"2.20",NA,NA,9.83,2.61,NA,0,-5.86,0.983,-0.324,-0.202,NA,20710000,0.53
"ENTG",95.2,138.24,"UP",11825525160,"Technology",460900000,2.56e+09,6850,"1.80",19.61,1.32,3.81,4.71,132.64,1.78,3.38,0.956,0.261,0.173,0.18,149030000,1.21
"ENTX",1.24,2.88,"UP",13949156,"Health Care",-4500000,4e+05,22,"2.00",NA,NA,46.64,1.05,NA,0,-0.05,0.171,NA,-0.538,NA,28810000,1.88
"ENVB",199,46.61,"DOWN",7221992,"Health Care",-52200000,NA,23,"2.30",NA,NA,NA,0.15,NA,0,-76.79,0.09,-1.683,NA,NA,2080000,1.25
"EOLS",3.2,6.5,"UP",479610369,"Health Care",-78600000,132400000,174,"1.90",NA,NA,3.29,9.19,NA,0,-1.41,0.489,-1.071,-0.297,-0.593,56080000,1.94
"EOSE",23.9,7.7,"DOWN",93786421,"Technology",-151200000,1.3e+07,251,"2.30",NA,NA,7.43,NA,NA,NA,-2.77,0.505,NA,-0.942,NA,56020000,NA
"EPIX",11.97,14.11,"UP",88766044,"Health Care",-37300000,NA,30,"-",NA,NA,NA,0.84,NA,0,-0.85,NA,-0.204,NA,NA,44060000,2.05
"EQ",5.03,4.04,"DOWN",64238397,"Health Care",-72400000,NA,45,"1.50",NA,NA,NA,1.51,NA,0.26,-2.3,0.378,-1.232,NA,NA,34290000,1.13
"EQBK",21.54,33.84,"UP",573438457,"Finance",56500000,175600000,702,"2.20",10.58,1.06,3.29,1.36,7.05,0.22,3.4,0.699,0.118,0.233,0.302,16110000,0.79
"EQIX",692.56,845.49,"UP",51610485836,"Real Estate",639300000,6.93e+09,10944,"2.00",86.34,4.05,8.14,5.19,NA,1.4,7.03,0.971,0.059,0.036,0.092,91040000,0.53
"EQOS",16.39,1.98,"DOWN",21749651,"Consumer Discretionary",-7.5e+07,5300000,195,"3.00",NA,NA,3.87,4.37,NA,1.88,-1.84,0.036,-2.083,-6.845,NA,46960000,1.83
"ERIC",12.04,10.94,"DOWN",18570380000,"Technology",2.06e+09,2.331e+10,104490,"2.30",9.03,1.77,0.81,1.48,14.02,0.31,0.62,0.09,0.186,0.17,0.088,3.33e+09,0.5
"ERIE",240.91,192.87,"DOWN",13401893168,"Finance",288100000,2.78e+09,5805,"2.00",53.41,5.34,4.42,10.16,1022.42,0,4.93,0.363,0.215,0.167,0.104,52290000,0.4
"ERII",13.75,21.34,"UP",1435402032,"Technology",11900000,107200000,222,"2.00",92.62,4.63,9.57,6.5,366.52,0,0.2,0.828,0.068,0.079,0.111,56220000,1.2
"ERNA",92.8,84.2,"DOWN",9644183,"Health Care",-107500000,NA,10,"3.00",NA,NA,NA,0.64,NA,0,-42.05,0.236,-6.091,NA,NA,2940000,4.32
"ERYP",9.77,2.36,"DOWN",20627338,"Health Care",-26600000,26900000,149,"1.70",NA,NA,0.74,0.85,NA,0.77,-1.07,0.049,NA,-1.314,NA,31020000,2.03
"ESCA",21.08,15.65,"DOWN",149293339,"Consumer Discretionary",20200000,315100000,670,"-",7.17,0.48,0.47,0.92,NA,0.68,1.48,0.242,0.132,0.126,0.064,13590000,1.18
"ESEA",5.46,24.17,"UP",136608055,"Consumer Discretionary",91900000,155100000,365,"2.00",1.63,0.33,0.94,1.12,1.43,0.78,12.69,0.07,0.989,0.235,0.592,7220000,0.73
"ESGR",202.07,247.48,"UP",3509921326,"Finance",-898500000,81800000,832,"-",NA,NA,40.35,0.71,2.48,0.41,-51.35,0.787,-0.163,0.036,NA,17230000,0.62
"ESLT",130.01,173.19,"UP",8987612191,"Industrials",274300000,5.28e+09,17787,"2.50",31.47,2.89,1.65,3.41,58.29,0.39,6.2,0.062,0.113,0.082,0.052,44210000,0.67
"ESPR",27.71,4.96,"DOWN",544724682,"Health Care",-257600000,67500000,218,"2.60",NA,NA,8.05,NA,NA,NA,-6.37,0.876,0.943,-3.693,NA,68050000,0.31
"ESQ",18.7,31.48,"UP",359528193,"Finance",26100000,53900000,110,"-",14.2,NA,6.69,2.38,13.35,0,3.2,0.588,0.134,0.222,0.354,7630000,0.88
"ESSA",14.76,17.25,"UP",209452319,"Finance",18200000,59500000,234,"3.00",10.87,NA,3.49,0.93,14.53,0,1.86,0.382,0.082,0.232,0.288,9790000,0.32
"ESTA",36,64.88,"UP",1362676107,"Health Care",-71900000,1.44e+08,851,"1.60",NA,NA,8.88,81.77,NA,0,-2.96,0.817,-1.634,-0.259,-0.499,24400000,1.08
"ETNB",24,13.58,"DOWN",442532164,"Health Care",-105200000,NA,41,"1.50",NA,NA,NA,2.17,NA,0.24,-5.2,0.883,-0.924,NA,NA,39070000,NA
"ETON",8.11,4.28,"DOWN",65266355,"Health Care",-11900000,16400000,17,"2.00",NA,NA,3.93,4.83,NA,0.48,-0.47,0.25,-0.797,-0.047,-0.728,25130000,1.4
"ETSY",172.08,222.01,"UP",11893639784,"Consumer Discretionary",405600000,2.41e+09,2722,"2.20",35.54,NA,5.34,21.7,22.99,4.11,2.79,0.9929,0.679,0.16,0.17,127090000,1.7
"EVBG",147.49,67.58,"DOWN",1234891570,"Technology",-94400000,402900000,1893,"2.60",NA,NA,2.4,3.76,NA,3.08,-2.41,0.989,-0.264,-0.05,-0.234,39570000,0.76
"EVGN",5.1,1.66,"DOWN",30905634,"Industrials",-32100000,1e+06,141,"2.00",NA,NA,29.89,0.81,NA,0.06,-0.78,0.043,-0.652,-0.549,NA,41200000,1.18
"EVGO",10.53,10.21,"DOWN",513944665,"Consumer Discretionary",-15700000,30100000,219,"2.30",1008.57,NA,62.64,NA,NA,NA,0.01,0.546,0.013,0.066,-0.523,264380000,NA
"EVK",2.99,2.6,"DOWN",13654926,"Consumer Discretionary",2e+05,328200000,4300,"-",67.79,NA,0.04,0.09,NA,0.51,0.01,0.012,0.001,-0.017,0,14810000,-0.12
"EVLO",11.85,6.27,"DOWN",228719866,"Health Care",-122800000,NA,122,"2.00",NA,NA,NA,4.15,NA,1.31,-2.13,0.827,-8.107,NA,NA,107990000,1.38
"EVLV",10.08,4.6,"DOWN",420937523,"Technology",-14200000,3.3e+07,102,"2.30",NA,NA,11.36,1.44,NA,0.04,-0.1,0.486,-0.051,-0.222,-0.431,143550000,NA
"EVOK",32.4,6.9,"DOWN",5950665,"Health Care",-8e+06,2200000,4,"2.00",NA,NA,2.52,0.74,NA,0,-2.84,0.021,-1.845,-0.948,NA,3340000,0.66
"EVOP",26.82,25.4,"DOWN",1397475629,"Technology",3100000,532800000,2300,"1.90",524.69,31.93,3.28,NA,11.2,NA,0.06,0.996,-0.005,-0.721,0.006,47860000,1.18
"EVTV",7.74,4.5,"DOWN",52352349,"Consumer Discretionary",-9600000,4600000,12,"2.00",NA,NA,11.29,0.71,NA,0,-0.26,0.039,-0.132,-0.104,NA,1.5e+07,2.57
"EWBC",51.14,79.02,"UP",10137605813,"Finance",1.01e+09,1.98e+09,3100,"1.80",9.86,1.23,4.93,1.76,NA,0.03,7.07,0.919,0.159,0.22,0.457,141430000,1.43
"EXAS",128.77,77.89,"DOWN",6130763367,"Health Care",-734500000,1.94e+09,6420,"1.70",NA,NA,3.48,2.1,NA,0.7,-4.23,0.89,-0.221,-0.109,-0.379,176360000,1.31
"EXC",29.37,40.91,"UP",38268365635,"Utilities",2.54e+09,2.811e+10,31518,"2.20",14.17,0.89,1.29,1.52,NA,1.64,2.59,0.837,0.092,0.031,0.094,993740000,0.55
"EXEL",20.53,18.63,"DOWN",5303787800,"Health Care",272600000,1.55e+09,954,"1.90",19.4,0.42,3.34,2.12,15.12,0,0.84,0.897,NA,0.101,NA,322150000,0.69
"EXLS",83.87,144.72,"UP",6001888189,"Technology",139400000,1.33e+09,37400,"2.40",44.46,2.65,4.48,8.63,45.47,0.38,4.12,0.9975,0.2,0.117,0.105,33240000,1.01
"EXPD",92.31,133.4,"UP",16020905552,"Consumer Discretionary",1.54e+09,1.898e+10,19070,"3.10",10.56,NA,0.82,4.48,12.08,0,9.07,0.965,0.43,0.402,0.081,165090000,0.92
"EXPE",131.37,181.47,"UP",14886136717,"Consumer Discretionary",3.31e+08,1.067e+10,14800,"2.50",42.72,1.87,1.29,7.38,4.53,3.52,2.1,0.979,0.173,0.039,0.031,157290000,1.51
"EXPI",30.7,34.26,"UP",2015889113,"Finance",57600000,4.61e+09,1669,"2.00",30.52,3.05,0.37,6.59,8.01,0,0.37,0.315,0.253,0.363,0.012,150780000,2.9
"EXPO",88.22,116.01,"UP",4893918411,"Consumer Discretionary",100200000,499400000,1215,"2.50",51.7,3.45,9.85,15.13,74.34,0,1.9,0.946,0.259,0.202,0.2,51890000,0.62
"EXTR",6.93,15.87,"UP",2373240295,"Telecommunications",44200000,1.14e+09,2643,"2.20",54.53,2.73,2.04,21.24,19.01,2.42,0.33,0.857,0.478,0.143,0.039,130290000,2.09
"EYE",46.99,48.55,"UP",2943277552,"Health Care",87100000,2.03e+09,13735,"2.00",36.31,NA,1.41,3.32,64.01,0.64,1.02,NA,0.093,0.103,0.043,80060000,1.51
"EYEN",6.29,3.8,"DOWN",73728718,"Health Care",-17200000,1e+07,43,"1.70",NA,NA,6.83,2.8,NA,0.31,-0.57,0.141,-0.879,-0.449,NA,33650000,1.6
"EYPT",9.01,12.72,"UP",183308194,"Health Care",-76500000,41500000,122,"1.80",NA,NA,4.28,1.29,NA,0.26,-2.26,0.892,-0.514,NA,NA,37320000,1.1
"EZPW",4.79,7.31,"UP",548991834,"Miscellaneous",44400000,845300000,6500,"1.00",16.97,0.48,0.59,0.77,14.48,0,0.55,0.943,0.066,0.025,0.052,56660000,1.13
"FAMI",28.5,5.57,"DOWN",11863336,"Consumer Staples",NA,39290000,67,"-",11.21,NA,0.32,0.41,NA,NA,0.05,0.0099,NA,NA,NA,22320000,NA
"FANG",48.94,107.31,"UP",27938830683,"Energy",3.83e+09,9.11e+09,870,"1.90",7.63,0.37,3.16,2.17,6.49,0.41,21.42,0.977,0.309,0.175,0.421,177840000,2.05
"FANH",10.93,6.16,"DOWN",255144298,"Finance",5400000,393800000,5785,"-",49.01,NA,0.68,1.28,NA,0,0.1,0.2,0.023,0.115,0.014,53720000,0.4
"FARM",4.53,7.33,"UP",113272069,"Consumer Staples",-16300000,469200000,1068,"2.00",NA,NA,0.21,0.96,NA,1.03,-0.89,0.621,-0.155,-0.068,-0.035,18450000,1.47
"FARO",68.33,69.95,"UP",551123334,"Industrials",-53800000,335900000,1432,"2.50",NA,NA,1.66,1.83,NA,0,-2.95,NA,-0.166,-0.122,-0.16,18270000,1.39
"FAST",47.65,63.81,"UP",27652847006,"Basic Materials",1.07e+09,6.82e+09,19519,"3.00",26.66,4.21,4.12,8.98,NA,0.18,1.86,0.797,0.343,0.272,0.157,5.73e+08,1.16
"FAT",5.15,10.74,"UP",135072031,"Consumer Discretionary",-7.5e+07,377600000,5200,"2.00",NA,NA,0.3,NA,NA,NA,-4.57,0.072,0.713,-0.007,-0.199,16530000,2.06
"FATE",89.68,60.07,"DOWN",2037976177,"Health Care",-253700000,68300000,449,"1.80",NA,NA,27.85,3.28,NA,0,-2.64,NA,-0.387,-0.32,NA,96700000,1.57
"FBIO",3.25,2.52,"DOWN",90971283,"Health Care",-89500000,82200000,173,"2.00",NA,NA,1.03,0.96,NA,1.26,-1.06,0.307,-0.951,-1.183,NA,88740000,1.9
"FBIZ",18.23,28.95,"UP",322340493,"Finance",37800000,107300000,307,"2.00",8.47,1.06,3.01,1.33,12.99,0.18,4.6,0.697,0.16,0.286,0.353,8230000,0.77
"FBMS",30.45,38.74,"UP",789804304,"Finance",62400000,186300000,794,"2.40",11.19,NA,4.19,1.2,11.85,0.26,2.93,0.609,0.103,0.172,0.345,24030000,0.92
"FBNC",33.13,45.59,"UP",1598419526,"Finance",1.01e+08,2.77e+08,1179,"2.00",14.12,1.74,5.93,1.53,9.23,0.06,3.24,0.722,0.093,0.167,0.364,35480000,1.13
"FBRX",35.26,2.12,"DOWN",21969520,"Health Care",-16700000,NA,6,"3.00",NA,NA,NA,0.4,NA,0,-1.15,0.369,-0.409,NA,NA,20340000,0.82
"FCAP",55.9,40.6,"DOWN",82619194,"Finance",1.1e+07,30100000,182,"-",7.32,NA,2.7,0.94,5.97,0,3.28,0.104,0.107,0.232,0.365,3350000,0.23
"FCBC",21.4,33.28,"UP",604223062,"Finance",44600000,109200000,622,"3.00",13.8,2.76,5.51,1.47,23.61,0,2.67,0.386,0.109,0.223,0.422,16660000,0.52
"FCEL",10.61,5.33,"DOWN",1267384338,"Utilities",-127600000,105200000,382,"3.20",NA,NA,12.18,1.76,NA,0.12,-0.34,0.428,-0.194,-0.105,NA,405560000,3.57
"FCFS",66.97,74.55,"UP",4610521475,"Miscellaneous",202800000,2.48e+09,17000,"2.40",21.66,1.36,1.81,2.46,24.44,0.72,4.36,0.834,0.071,0.05,0.048,47420000,0.8
"FCNCA",568.46,811.02,"UP",13147330845,"Finance",923600000,2.75e+09,6578,"1.70",13.17,NA,4.84,1.36,NA,0.21,62.92,0.719,0.093,0.265,0.237,16020000,0.96
"FCUV",3.75,9.38,"UP",430020052,"Industrials",-5e+06,1e+06,13,"-",NA,NA,503.2,43.42,NA,0,-0.12,0.075,-0.396,-0.2,NA,43400000,NA
"FDMT",37.69,21.87,"DOWN",282050512,"Health Care",-101700000,2800000,138,"2.00",NA,NA,92.98,0.99,NA,0,-3.33,0.823,-0.366,-0.224,NA,32320000,NA
"FEIM",10.48,9.81,"DOWN",48895922,"Industrials",-10200000,43500000,197,"-",NA,NA,1.1,1.12,NA,0,-1.1,0.57,-0.205,-0.189,-0.234,9310000,0.39
"FELE",68.29,93.74,"UP",3795920876,"Consumer Discretionary",187900000,1.99e+09,6400,"2.70",20.42,1.52,1.91,3.83,NA,0.32,4,0.825,0.162,0.136,0.078,46300000,1
"FENC",7.46,4.38,"DOWN",227306708,"Health Care",-17400000,NA,10,"2.00",NA,NA,NA,25.67,NA,0.59,-0.67,0.432,-1.245,NA,NA,26050000,0
"FFBC",17.62,24.29,"UP",2484175687,"Finance",195500000,5.13e+08,2010,"3.00",12.52,1.25,4.79,1.17,8.65,0.17,2.07,0.753,0.092,0.163,0.388,93550000,1.07
"FFHL",10.23,7.55,"DOWN",23122126,"Industrials",9400000,52900000,209,"-",2.44,0.35,0.43,0.48,NA,0.29,2.89,0.055,NA,0.205,NA,3270000,0.94
"FFIC",16.23,24.31,"UP",592243840,"Finance",84800000,299100000,523,"2.70",7.53,1.34,2.05,0.95,6.85,0.27,2.73,0.694,0.12,0.262,0.271,30940000,0.7
"FFIE",10.08,5.17,"DOWN",213402294,"Consumer Discretionary",-6.83e+08,NA,745,"3.00",NA,NA,NA,0.74,NA,0.32,-2.2,0.201,-1.401,NA,NA,322720000,NA
"FFIN",35.82,51.19,"UP",5494749980,"Finance",231100000,407700000,1400,"3.20",22.97,2.3,13.3,3.98,22.46,0,1.61,0.614,0.144,0.186,0.556,142680000,0.77
"FFIV",175.85,245.4,"UP",8590508600,"Technology",322200000,2.7e+09,6461,"2.70",25.95,2.76,3.01,3.54,14.41,0.15,5.29,0.969,0.148,0.124,0.13,59970000,1.09
"FFNW",11.28,16.07,"UP",136771646,"Finance",1.3e+07,53200000,144,"2.00",10.74,1.53,2.49,0.85,7.95,0,1.39,0.396,0.082,0.264,0.243,8980000,0.42
"FFWM",19.8,25.09,"UP",903894366,"Finance",1.17e+08,342500000,674,"1.80",6.77,0.97,2.38,0.75,9.9,0.16,2.16,0.689,0.118,0.147,0.344,56470000,1.03
"FGBI",15.78,20.38,"UP",249594179,"Finance",29500000,128400000,463,"3.00",8.98,NA,2.04,1.37,12.38,0.2,2.75,0.135,0.147,0.348,0.217,10720000,0.48
"FGEN",37.58,14.12,"DOWN",1520481940,"Health Care",-220100000,263100000,566,"3.10",NA,NA,5.38,14.56,NA,0,-2.37,0.762,-1.105,-1.274,-0.836,93470000,0.87
"FGF",3.39,3.65,"UP",20195505,"Finance",-19400000,1700000,9,"-",NA,NA,12.6,2.85,NA,0,-3.26,0.637,-2.254,-0.632,NA,9390000,0.75
"FHB",23.7,27.06,"UP",3294626460,"Finance",243100000,604100000,2000,"3.40",13.58,16.97,5.46,1.46,18.7,0,1.9,NA,0.107,0.183,0.44,127670000,1.05
"FHTX",19.06,22.24,"UP",366825556,"Health Care",-109500000,9200000,119,"2.00",NA,NA,41.81,7.89,1.65,0,-2.78,0.622,-1.47,-1.052,NA,41520000,NA
"FIBK",40.33,40.6,"UP",4786989330,"Finance",167500000,821900000,2358,"2.20",24.37,3.05,5.9,1.51,35.57,0.09,1.86,0.811,0.04,0.205,0.131,109110000,0.91
"FISI",22.39,31.85,"UP",372274928,"Finance",62600000,182100000,625,"2.70",6.05,0.76,2.04,0.91,5.47,0.18,4.01,0.678,0.156,0.256,0.387,15310000,0.92
"FISV",111.92,104.52,"DOWN",65519020609,"Consumer Discretionary",2.08e+09,1.736e+10,44000,"2.00",30.27,2.02,3.48,2.03,21.33,0.7,3.18,0.933,0.067,0.037,0.12,639600000,0.89
"FITB",27.23,43.6,"UP",24577942830,"Finance",2.26e+09,5.81e+09,19119,"2.00",10.78,2.14,4.13,1.43,6.79,0.65,3.25,0.832,0.131,0.15,0.424,689020000,1.23
"FIVE",167.09,206.36,"UP",8147345935,"Consumer Discretionary",238400000,2.91e+09,6100,"1.90",34.99,2.78,2.85,7.09,NA,0,4.25,NA,0.215,0.261,0.082,55500000,1.17
"FIVN",173.15,139.64,"DOWN",4287498868,"Technology",-81900000,700100000,2138,"2.00",NA,NA,4.74,13.39,NA,3.01,-1.19,NA,-0.389,-0.046,-0.117,69750000,0.62
"FIXX",11.64,3.68,"DOWN",86103042,"Health Care",-1200000,4100000,224,"2.10",NA,NA,19.89,0.34,NA,0,-0.04,0.537,-0.005,-0.565,-0.288,57390000,-0.2
"FIZZ",42.37,45.93,"UP",4434500067,"Consumer Staples",140200000,1.14e+09,1580,"3.70",31.64,1.24,3.88,16.45,49.29,0,1.5,0.249,0.477,0.579,0.122,93340000,1.09
"FKWL",23.75,3.61,"DOWN",40311934,"Utilities",-3800000,2.4e+07,76,"2.00",NA,NA,1.6,0.95,NA,0,-0.32,0.173,-0.089,-0.095,-0.157,11670000,0.28
"FLEX",17.88,18.39,"UP",9038089031,"Technology",8.15e+08,2.858e+10,172648,"-",11.07,0.66,0.3,2.1,71.03,0.96,1.74,0.995,0.203,0.131,0.029,4.55e+08,1.46
"FLGT",59.3,101.64,"UP",1205484982,"Health Care",392400000,925100000,645,"2.00",2.82,NA,1.14,0.83,2.58,0.02,12.57,0.449,0.327,0.424,0.424,30360000,1.54
"FLIC",17.64,21.69,"UP",405422935,"Finance",4.6e+07,129500000,318,"2.70",8.96,1.28,3.21,1.08,18.2,0.74,1.98,0.59,0.11,0.24,0.339,2.3e+07,0.5
"FLL",3.79,11.96,"UP",244127004,"Consumer Discretionary",5400000,176300000,893,"2.00",49,3.27,1.31,2.16,NA,3.69,0.14,0.514,0.049,0.088,0.031,34360000,1.84
"FLNT",5.25,2.08,"DOWN",102261729,"Consumer Discretionary",-57600000,373100000,261,"1.00",NA,NA,0.27,0.66,9.14,0.28,-0.71,0.273,-0.292,-0.03,-0.154,81490000,2.39
"FLUX",15.32,4.25,"DOWN",59035460,"Industrials",-15600000,42300000,121,"2.00",NA,NA,1.42,3.99,NA,0.35,-1.02,0.309,-0.835,-0.817,-0.369,15990000,1.12
"FLWS",27.13,23.67,"DOWN",467252275,"Consumer Discretionary",29600000,2.21e+09,4700,"2.20",19.79,0.99,0.24,1.09,NA,0.32,0.43,0.704,0.056,0.06,0.013,64650000,1.66
"FLXS",32.78,26.95,"DOWN",81355537,"Consumer Discretionary",-2200000,502300000,1800,"-",NA,NA,0.16,0.6,1.41,0.23,-0.31,0.438,-0.016,0.015,-0.004,5310000,0.64
"FMAO",23.03,32.75,"UP",396497810,"Finance",32700000,94100000,392,"3.00",11.34,NA,4.09,1.32,21.73,0.16,2.52,0.238,0.116,0.162,0.352,12980000,0.41
"FMBH",33.85,42.65,"UP",738421998,"Finance",69100000,201500000,1025,"1.70",10.04,1.12,3.65,1.16,13.53,0.2,3.52,0.351,0.1,0.184,0.318,20450000,0.87
"FMNB",13.27,18.39,"UP",471390400,"Finance",52900000,135700000,550,"2.70",9,0.5,3.51,1.49,11.04,0.27,1.57,0.415,0.136,0.166,0.392,33850000,0.83
"FNCB",6.43,9.1,"UP",150612818,"Finance",19500000,56500000,204,"-",8.13,NA,2.68,1.25,13.63,0.08,0.98,0.147,0.135,0.256,0.352,19680000,0.33
"FNGR",9.02,7.24,"DOWN",315789435,"Consumer Discretionary",-5600000,21400000,68,"-",NA,NA,12.56,132.2,NA,2.5,-0.13,0.01,-1.335,-0.954,-0.26,42810000,0.67
"FNHC",5.88,1.4,"DOWN",5534327,"Finance",-127600000,2.35e+08,341,"3.00",NA,NA,0.01,0.17,NA,8.43,-7.32,0.262,-2.1,-0.529,-0.543,17460000,2.33
"FNKO",10.05,19.01,"UP",960701814,"Consumer Discretionary",48100000,1.23e+09,1242,"2.10",9.56,3.54,0.41,1.13,NA,0.59,1.07,0.625,0.142,0.157,0.039,43740000,1.83
"FNLC",25.86,31.21,"UP",342068756,"Finance",39300000,8.6e+07,267,"-",8.7,NA,3.89,1.49,11.08,0,3.56,0.483,0.157,0.24,0.431,10930000,0.51
"FNWB",15.62,20.25,"UP",150169517,"Finance",14500000,6.6e+07,288,"2.00",9.64,NA,2.31,0.83,26.69,0,1.58,0.56,0.08,0.233,0.219,9100000,0.77
"FOCS",43.47,59.92,"UP",2280877925,"Finance",70400000,2.05e+09,4400,"1.90",30.01,1.91,1.21,2.09,10.02,2.45,1.08,NA,0.08,0.025,0.034,65390000,1.33
"FOLD",21.78,11.67,"DOWN",2817607041,"Health Care",-2.81e+08,321100000,496,"2.10",NA,NA,8.69,17.47,NA,2.25,-0.99,NA,-1.025,-0.309,-0.875,291970000,0.85
"FONR",18.32,14.58,"DOWN",107177034,"Health Care",11700000,97600000,484,"-",10.12,NA,1.12,0.77,10.16,0.01,1.66,0.474,0.08,0.109,0.12,6940000,0.75
"FORM",42.7,45.57,"UP",1556537503,"Technology",90400000,786900000,2293,"2.10",17.22,0.86,1.95,1.85,18.55,0.02,1.14,0.974,0.115,0.099,0.12,77900000,1.14
